,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Maslin Beach,SA,5170,https://www.smartpropertyinvestment.com.au/data/sa/5170/maslin-beach,,,,,"$801,250",,-2.58%,,2.72%,,39.35%,,71.30%,,8.40%,,$608,,N/A,,3.94%,,1152,"$1,112",$933,2.4,16.0%,44,1394,"$160,250","$4,853",33
Sturt,SA,5047,https://www.smartpropertyinvestment.com.au/data/sa/5047/sturt,,,,,"$802,000",,-0.87%,,4.29%,,38.28%,,82.27%,,7.10%,,$610,,25.9 days,,3.96%,,1168,"$1,172",$974,2.3,,38,1638,"$160,400","$5,066",32
O'Halloran Hill,SA,5158,https://www.smartpropertyinvestment.com.au/data/sa/5158/o'halloran-hill,,,,,"$802,000",,3.22%,,12.96%,,49.47%,,103.04%,,8.57%,,$560,,29.6 days,,3.63%,,n.a.,"$1,239","$1,019",n.a.,31.1%,n.a.,n.a.,"$160,400","$5,301",30
Craigie,WA,6025,https://www.smartpropertyinvestment.com.au/data/wa/6025/craigie,,,,,"$802,000",,0.25%,,12.96%,,45.82%,,100.50%,,5.48%,,$680,,16.8 days,,4.41%,,1881,"$1,618","$1,278",2.7,,39,2031,"$160,400","$6,644",24
Woodgate,QLD,4660,,,267,"2,000",31.00%,"$802,500",,5.25%,N/A,0.31%,N/A,26.38%,N/A,108.44%,N/A,7.20%,N/A,$550,,114.2 days,114.2 days,3.56%,3.56%,574.5,$968,$835,2,0.0%,60,1120,"$160,500","$4,342",37
Booie,QLD,4610,,,149,"1,000",5.00%,"$802,500",,3.55%,,22.52%,,71.66%,,111.18%,,15.56%,,N/A,,80.3 days,80.3 days,0.00%,0.00%,724.5,"$1,071",$905,2.9,12.9%,39,813,"$160,500","$4,708",34
Virginia,SA,5120,https://www.smartpropertyinvestment.com.au/data/sa/5120/virginia,,,,,"$802,500",,4.63%,,12.55%,,41.41%,,62.12%,,5.93%,,$605,,71.5 days,,3.92%,,1237,"$1,217","$1,005",2.8,,39,1779,"$160,500","$5,225",31
Bowenfels,NSW,2790,,,110,"2,000",,"$802,500",,0.00%,N/A,-1.53%,N/A,23.08%,N/A,38.36%,N/A,6.87%,N/A,N/A,,N/A,N/A,0.00%,0.00%,975,"$1,259","$1,033",2.3,10.0%,45,1400,"$160,500","$5,374",30
South Bowenfels,NSW,2790,,,,,,"$802,500",,0.00%,N/A,-1.53%,N/A,23.08%,N/A,38.36%,N/A,6.87%,N/A,N/A,,N/A,N/A,0.00%,0.00%,975,"$1,259","$1,033",2.3,10.0%,45,1400,"$160,500","$5,374",30
Bedford Park,SA,5042,https://www.smartpropertyinvestment.com.au/data/sa/5042/bedford-park,,,,,"$802,750",,6.68%,,9.22%,,18.49%,,0.00%,,9.62%,,$600,,N/A,,3.89%,,1134,"$1,146",$957,2.4,50.0%,35,1600,"$160,550","$4,974",32
Maryland,NSW,2287,,,117,"8,000",,"$803,250",,0.41%,$0,4.32%,$0,12.11%,$0,63.93%,$0,7.35%,$0,$650,,41.9 days,41.9 days,4.21%,4.21%,1117,"$1,270","$1,041",2.9,,32,1350,"$160,650","$5,411",30
Thornton,NSW,2322,,,126,"11,000",33.00%,"$803,400",,0.43%,$0,6.13%,$0,9.90%,$0,56.00%,$1,7.43%,$0,$640,,48.7 days,48.7 days,4.14%,4.14%,1351,"$1,317","$1,073",2.7,,37,1625,"$160,680","$5,579",29
West Wallsend,NSW,2286,,,,,,"$803,500",,-1.41%,N/A,7.85%,N/A,10.07%,N/A,68.80%,N/A,9.09%,N/A,$650,,49.5 days,49.5 days,4.21%,4.21%,1323,"$1,230","$1,013",2.7,33.0%,38,1625,"$160,700","$5,269",30
Salisbury Heights,SA,5109,https://www.smartpropertyinvestment.com.au/data/sa/5109/salisbury-heights,,,,,"$805,000",,10.27%,,21.05%,,54.61%,,98.77%,,8.80%,,$598,,42.6 days,,3.86%,,1120,"$1,075",$908,2.5,25.6%,39,1343,"$161,000","$4,721",34
Warrawong,NSW,2502,,,76,"5,000",2.00%,"$805,000",,1.90%,$0,7.97%,$0,10.93%,$0,57.23%,$0,9.01%,$0,$560,,45.2 days,45.2 days,3.62%,3.62%,918,"$1,090",$918,2.6,25.0%,40,1602,"$161,000","$4,776",34
Park Ridge,QLD,4125,,,,,,"$805,000",,1.26%,$0,9.69%,$0,43.24%,$0,77.04%,$1,3.48%,$0,$600,,32.7 days,32.7 days,3.88%,3.88%,618.6,"$1,095",$922,2.5,21.2%,51,1452,"$161,000","$4,792",34
Endeavour Hills,VIC,3802,,,,,,"$805,000",,-1.23%,$0,0.00%,$0,-0.62%,$0,25.78%,$0,6.12%,$0,$580,,50.7 days,50.7 days,3.75%,3.75%,1454,"$1,144",$955,3,37.3%,37,1625,"$161,000","$4,966",32
Tooradin,VIC,3980,,,57,"2,000",10.00%,"$805,000",,-0.62%,N/A,-13.90%,N/A,-14.13%,N/A,7.62%,N/A,5.86%,N/A,N/A,,92.6 days,92.6 days,0.00%,0.00%,1501,"$1,260","$1,034",2.7,5.3%,39,1723,"$161,000","$5,376",30
Linden,NSW,2778,,,66,471,6.00%,"$805,000",,0.94%,,0.00%,,0.00%,,0.00%,,20.60%,,N/A,,40.5 days,40.5 days,0.00%,0.00%,1655,"$1,294","$1,057",2.6,,45,1733,"$161,000","$5,495",29
Cardiff,NSW,2285,,,110,"6,000",8.00%,"$805,000",,1.90%,$0,6.48%,$0,11.81%,$0,71.28%,$0,8.34%,$0,$600,,38.2 days,38.2 days,3.88%,3.88%,1478,"$1,308","$1,067",2.7,,36,1769,"$161,000","$5,546",29
West Melbourne,VIC,3003,,,,,,"$805,000",,-12.50%,$0,-34.61%,$0,-36.74%,$0,-43.13%,$0,4.69%,$0,$640,,64.5 days,64.5 days,4.13%,4.13%,1766,"$1,334","$1,085",2.2,52.1%,30,2006,"$161,000","$5,640",29
Monbulk,VIC,3793,,,42,"4,000",2.00%,"$806,000",,-2.90%,N/A,-0.62%,N/A,-4.05%,N/A,22.96%,N/A,6.38%,N/A,$695,,51.8 days,51.8 days,4.48%,4.48%,1377,"$1,241","$1,021",2.7,18.8%,42,1608,"$161,200","$5,311",30
Burua,QLD,4680,,,432,849,10.00%,"$806,500",,3.40%,,0.00%,,23.13%,,54.35%,,8.76%,,N/A,,66.5 days,66.5 days,0.00%,0.00%,1445,"$1,508","$1,203",3.2,48.7%,36,1300,"$161,300","$6,255",26
Glendale,NSW,2285,,,111,"3,000",5.00%,"$807,000",,2.15%,N/A,8.32%,N/A,8.69%,N/A,67.43%,N/A,8.07%,N/A,$630,,29.6 days,29.6 days,4.06%,4.06%,1478,"$1,308","$1,067",2.7,,36,1769,"$161,400","$5,546",29
Buff Point,NSW,2262,,,,,,"$807,500",,-5.00%,N/A,4.84%,N/A,0.39%,N/A,60.22%,N/A,8.81%,N/A,$550,,47.1 days,47.1 days,3.54%,3.54%,1107,"$1,101",$926,2.6,18.8%,39,1565,"$161,500","$4,814",34
Karabar,NSW,2620,,,247,"9,000",3.00%,"$807,500",,3.53%,$0,4.06%,$0,-3.87%,$0,44.78%,$0,5.96%,$0,$620,,73.2 days,73.2 days,3.99%,3.99%,1731,"$1,568","$1,243",2.5,20.4%,37,2000,"$161,500","$6,466",25
Kanwal,NSW,2259,,,71,"4,000",2.00%,"$808,000",,9.16%,N/A,10.66%,N/A,1.64%,N/A,63.23%,N/A,8.35%,N/A,$593,,48.1 days,48.1 days,3.81%,3.81%,1285,"$1,224","$1,010",2.7,30.2%,40,1733,"$161,600","$5,251",31
City,ACT,2601,https://www.smartpropertyinvestment.com.au/data/act/2601/city,,,,,"$808,000",,7.02%,,0.00%,,21.50%,,0.00%,,0.00%,,$645,,N/A,,4.15%,,2222,"$1,391","$1,123",1.8,38.0%,23,2200,"$161,600","$5,838",28
St Agnes,SA,5097,https://www.smartpropertyinvestment.com.au/data/sa/5097/st-agnes,,,,,"$808,125",,3.74%,,24.81%,,47.55%,,92.41%,,8.01%,,$610,,43.9 days,,3.93%,,1332,"$1,167",$971,2.5,,41,1500,"$161,625","$5,049",32
Kings Point,NSW,2539,,,,,,"$808,750",,-0.15%,,0.00%,,-25.12%,,33.35%,,19.08%,,N/A,,142.5 days,142.5 days,0.00%,0.00%,900,"$1,034",$880,2.2,0.0%,53,1430,"$161,750","$4,578",35
Mill Park,VIC,3082,,,,,,"$809,400",,1.25%,$0,3.34%,$0,0.27%,$0,18.16%,$0,6.61%,$0,$543,,57.7 days,57.7 days,3.49%,3.49%,1500,"$1,212","$1,001",3,35.6%,37,1600,"$161,880","$5,206",31
Hindmarsh Island,SA,5214,https://www.smartpropertyinvestment.com.au/data/sa/5214/hindmarsh-island,,,,,"$810,000",,3.85%,,12.11%,,39.66%,,82.84%,,7.27%,,$540,,95.4 days,,3.47%,,813,$966,$834,2.1,8.9%,58,1200,"$162,000","$4,337",37
Hillcrest,SA,5086,https://www.smartpropertyinvestment.com.au/data/sa/5086/hillcrest,,,,,"$810,000",,0.12%,,4.32%,,30.65%,,72.16%,,7.09%,,$633,,29.9 days,,4.06%,,1214,"$1,150",$959,2.4,,36,1593,"$162,000","$4,988",32
Seaford Heights,SA,5169,https://www.smartpropertyinvestment.com.au/data/sa/5169/seaford-heights,,,,,"$810,000",,3.18%,,28.57%,,37.29%,,102.50%,,8.63%,,$600,,34.9 days,,3.85%,,1232,"$1,175",$976,2.6,27.7%,35,1599,"$162,000","$5,076",32
D'Aguilar,QLD,4514,,,59,"1,000",22.00%,"$810,000",,0.00%,N/A,-4.59%,N/A,36.71%,N/A,72.71%,N/A,6.81%,N/A,$688,,45 days,45 days,4.41%,4.41%,1010,"$1,181",$980,2.9,10.8%,37,1083,"$162,000","$5,098",32
D'Aguilar,QLD,4514,https://www.smartpropertyinvestment.com.au/data/qld/4514/d'aguilar,,59,"1,000",22.00%,"$810,000",,0.00%,N/A,-4.59%,N/A,36.71%,N/A,72.71%,N/A,6.81%,N/A,$688,,45 days,45 days,4.41%,4.41%,1010,"$1,181",$980,2.9,10.8%,37,1083,"$162,000","$5,098",32
Acacia Ridge,QLD,4110,,,,,,"$810,000",,2.40%,N/A,12.50%,N/A,30.65%,N/A,103.26%,N/A,9.22%,N/A,$550,,29.3 days,29.3 days,3.53%,3.53%,1370,"$1,187",$984,2.9,36.6%,33,1733,"$162,000","$5,117",32
Burpengary,QLD,4505,,,36,"16,000",18.00%,"$810,000",,3.85%,$0,9.46%,$0,26.37%,$1,77.43%,$1,7.61%,$0,$600,,35.3 days,35.3 days,3.85%,3.85%,1273,"$1,236","$1,018",3.2,23.3%,38,1408,"$162,000","$5,293",31
Roseworthy,SA,5371,https://www.smartpropertyinvestment.com.au/data/sa/5371/roseworthy,,,,,"$810,000",,-0.31%,,14.08%,,0.00%,,71.25%,,6.42%,,$655,,57.4 days,,4.20%,,1712,"$1,251","$1,028",3,12.3%,37,1582,"$162,000","$5,344",30
Tootgarook,VIC,3941,,,63,"3,000",11.00%,"$810,000",,-4.76%,N/A,-11.96%,N/A,-17.35%,N/A,35.00%,N/A,8.52%,N/A,$550,,85.8 days,85.8 days,3.53%,3.53%,1067,"$1,269","$1,040",2.3,18.9%,46,1560,"$162,000","$5,410",30
Morley,WA,6062,https://www.smartpropertyinvestment.com.au/data/wa/6062/morley,,,,,"$810,000",,1.89%,,19.29%,,50.00%,,82.02%,,4.40%,,$700,,18.5 days,,4.49%,,1432,"$1,276","$1,045",2.6,47.0%,39,1950,"$162,000","$5,432",30
Traralgon East,VIC,3844,,,,,,"$810,000",,-4.71%,N/A,-4.71%,N/A,24.40%,N/A,72.34%,N/A,6.30%,N/A,N/A,,119 days,119 days,0.00%,0.00%,1321,"$1,364","$1,105",2.4,27.8%,38,1400,"$162,000","$5,744",28
Werribee South,VIC,3030,,,,,,"$810,000",,15.71%,$0,-10.99%,$0,-7.16%,$0,24.62%,$0,5.40%,$0,$560,,99.9 days,99.9 days,3.60%,3.60%,1676,"$1,368","$1,107",3,13.8%,33,1800,"$162,000","$5,758",28
Bouvard,WA,6211,https://www.smartpropertyinvestment.com.au/data/wa/6211/bouvard,,,,,"$810,000",,4.85%,,2.21%,,14.08%,,45.36%,,7.40%,,N/A,,59.2 days,,0.00%,,1283,"$1,465","$1,173",2.6,47.1%,43,2000,"$162,000","$6,100",27
Geelong West,VIC,3218,,,,,,"$810,000",,-4.00%,$0,-8.47%,$0,-13.51%,$0,15.88%,$1,5.94%,$0,$520,,69.2 days,69.2 days,3.34%,3.34%,1286,"$1,480","$1,184",2.2,36.1%,37,1555,"$162,000","$6,155",26
Heathridge,WA,6027,https://www.smartpropertyinvestment.com.au/data/wa/6027/heathridge,,,,,"$810,000",,2.50%,,19.82%,,51.40%,,88.37%,,5.33%,,$700,,18.7 days,,4.49%,,1822,"$1,484","$1,186",2.7,41.9%,38,2000,"$162,000","$6,167",26
Success,WA,6164,https://www.smartpropertyinvestment.com.au/data/wa/6164/success,,,,,"$810,000",,0.50%,,17.56%,,42.11%,,72.71%,,4.00%,,$730,,22.2 days,,4.69%,,1987,"$1,510","$1,204",2.9,47.9%,32,2145,"$162,000","$6,259",26
Balcolyn,NSW,2264,,,91,"1,000",4.00%,"$811,250",,3.34%,N/A,8.38%,N/A,-5.50%,N/A,48.17%,N/A,9.20%,N/A,$640,,51.1 days,51.1 days,4.10%,4.10%,1120,"$1,187",$984,2.4,41.9%,46,1700,"$162,250","$5,117",32
Fitzgibbon,QLD,4018,,,14,"6,000",11.00%,"$812,500",,1.18%,$0,16.07%,$0,30.26%,$1,66.67%,$0,6.81%,$0,$630,,22.1 days,22.1 days,4.03%,4.03%,933.7,"$1,219","$1,006",2.2,46.3%,37,1250,"$162,500","$5,231",31
Tuggerawong,NSW,2259,,,69,"1,000",,"$812,500",,0.00%,N/A,-7.67%,N/A,-7.67%,N/A,54.91%,N/A,9.56%,N/A,$570,,65.4 days,65.4 days,3.65%,3.65%,1285,"$1,224","$1,010",2.7,14.6%,40,1733,"$162,500","$5,251",31
Riddells Creek,VIC,3431,,,,,,"$812,500",,-3.27%,N/A,-5.80%,N/A,-16.24%,N/A,10.54%,N/A,5.78%,N/A,$580,,95.7 days,95.7 days,3.71%,3.71%,1834,"$1,398","$1,128",2.9,28.2%,42,1800,"$162,500","$5,863",28
Regents Park,QLD,4118,,,,,,"$813,500",,2.84%,N/A,9.93%,N/A,34.46%,N/A,96.02%,N/A,9.01%,N/A,$600,,31.1 days,31.1 days,3.84%,3.84%,1155,"$1,148",$957,3.1,,30,1240,"$162,700","$4,979",33
Coes Creek,QLD,4560,,,,,,"$813,504",,0.43%,N/A,-0.79%,N/A,5.79%,N/A,71.26%,N/A,8.74%,N/A,$695,,34.3 days,34.3 days,4.44%,4.44%,1001,"$1,151",$960,2.8,29.2%,38,1083,"$162,701","$4,990",33
Glenroy,VIC,3046,,,13,"24,000",7.00%,"$813,750",,-0.64%,$0,-0.15%,$0,-7.53%,$0,12.40%,$0,5.57%,$0,$550,,68.1 days,68.1 days,3.51%,3.51%,1296,"$1,258","$1,033",2.6,,35,1733,"$162,750","$5,369",30
Newtown,QLD,4305,,,30,"1,000",7.00%,"$814,000",,5.03%,N/A,24.09%,N/A,55.64%,N/A,117.98%,N/A,10.13%,N/A,$535,,48.2 days,48.2 days,3.42%,3.42%,751.4,"$1,168",$971,2.3,,34,975,"$162,800","$5,051",32
Dunbogan,NSW,2443,,,287,"1,000",2.00%,"$815,000",,1.88%,N/A,1.88%,N/A,11.26%,N/A,13.35%,N/A,7.40%,N/A,$650,,106.4 days,106.4 days,4.15%,4.15%,781,$927,$808,2,57.1%,59,1343,"$163,000","$4,201",39
Bongaree,QLD,4507,,,46,"8,000",18.00%,"$815,000",,5.33%,$0,7.59%,$0,15.81%,$0,68.04%,$1,8.10%,$0,$605,,51.1 days,51.1 days,3.86%,3.86%,555.8,"$1,105",$929,2,21.9%,60,1083,"$163,000","$4,829",34
McKenzie Hill,VIC,3451,,,,,,"$815,000",,1.24%,N/A,-2.98%,N/A,12.41%,N/A,51.49%,N/A,7.55%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1139,"$1,206",$997,2.4,28.0%,44,1300,"$163,000","$5,187",31
Warrenup,WA,6330,https://www.smartpropertyinvestment.com.au/data/wa/6330/warrenup,,,,,"$815,000",,-9.44%,,-16.62%,,22.10%,,36.97%,,7.74%,,N/A,,37.3 days,,0.00%,,1208,"$1,207",$998,2.4,14.0%,43,1603,"$163,000","$5,189",31
Dapto,NSW,2530,,,81,"11,000",2.00%,"$815,000",,1.88%,$0,5.50%,$0,7.24%,$0,52.34%,$0,7.74%,$0,$600,,38 days,38 days,3.83%,3.83%,1360,"$1,278","$1,046",2.7,22.5%,39,1750,"$163,000","$5,438",30
Mandogalup,WA,6167,https://www.smartpropertyinvestment.com.au/data/wa/6167/mandogalup,,,,,"$815,000",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,$725,,18.4 days,,4.63%,,1335,"$1,322","$1,076",2.6,0.0%,33,1725,"$163,000","$5,596",29
Williams Landing,VIC,3027,,,,,,"$815,000",,1.87%,$0,2.71%,$0,3.16%,$0,21.64%,$0,7.45%,$0,$595,,78.7 days,78.7 days,3.80%,3.80%,n.a.,"$1,374","$1,112",n.a.,52.3%,n.a.,n.a.,"$163,000","$5,781",28
Goomboorian,QLD,4570,,,156,566,13.00%,"$815,500",,0.00%,,0.00%,,0.00%,,94.17%,,15.54%,,N/A,,N/A,N/A,0.00%,0.00%,974,"$1,035",$881,2.4,0.0%,45,1300,"$163,100","$4,580",36
Adare,QLD,4343,,,72,"1,000",18.00%,"$816,000",,7.37%,N/A,6.01%,N/A,45.71%,N/A,92.00%,N/A,8.23%,N/A,N/A,,52.9 days,52.9 days,0.00%,0.00%,906.6,$978,$842,2.9,20.0%,40,802,"$163,200","$4,378",37
Inverloch,VIC,3996,,,112,"7,000",20.00%,"$816,250",,-0.46%,$0,-5.64%,$0,-13.26%,$1,31.42%,$1,7.58%,$0,$490,,120.6 days,120.6 days,3.12%,3.12%,1042,"$1,221","$1,007",2.2,18.4%,52,1723,"$163,250","$5,238",31
Carlisle,WA,6101,https://www.smartpropertyinvestment.com.au/data/wa/6101/carlisle,,,,,"$816,250",,2.22%,,20.93%,,39.29%,,70.05%,,3.98%,,$740,,17.9 days,,4.71%,,1616,"$1,542","$1,226",2.3,54.0%,33,2050,"$163,250","$6,374",26
Kew,NSW,2439,,,284,"2,000",62.00%,"$817,000",,-0.37%,N/A,-4.94%,N/A,4.74%,N/A,37.31%,N/A,5.06%,N/A,N/A,,125 days,125 days,0.00%,0.00%,1066,$995,$854,2.5,,50,1517,"$163,400","$4,441",37
Shalvey,NSW,2770,,,39,"3,000",,"$817,000",,2.13%,N/A,7.50%,N/A,11.46%,N/A,59.41%,N/A,7.43%,N/A,$540,,23.5 days,23.5 days,3.44%,3.44%,1159,"$1,038",$883,3.1,23.3%,31,1700,"$163,400","$4,590",36
Rothwell,QLD,4022,,,29,"8,000",5.00%,"$817,000",,2.13%,$0,13.47%,$0,29.68%,$1,94.52%,$0,7.90%,$0,$610,,23.7 days,23.7 days,3.88%,3.88%,926.8,"$1,072",$906,2.8,24.5%,38,1300,"$163,400","$4,713",35
Meringandan,QLD,4352,,,110,530,9.00%,"$817,000",,3.75%,N/A,13.47%,N/A,48.55%,N/A,106.84%,N/A,7.77%,N/A,$650,,28.7 days,28.7 days,4.14%,4.14%,1105,"$1,289","$1,053",2.8,22.9%,30,864,"$163,400","$5,478",30
Meringandan West,QLD,4352,,,,,,"$817,000",,3.75%,N/A,13.47%,N/A,48.55%,N/A,106.84%,N/A,7.77%,N/A,$650,,28.7 days,28.7 days,4.14%,4.14%,1099,"$1,289","$1,053",3.1,23.0%,33,1001,"$163,400","$5,478",30
Exmouth,WA,6707,https://www.smartpropertyinvestment.com.au/data/wa/6707/exmouth,,,,,"$817,000",,6.10%,,6.80%,,31.24%,,81.15%,,5.70%,,"$1,000",,41.8 days,,6.36%,,1657,"$1,420","$1,143",2.5,15.3%,37,2167,"$163,400","$5,942",28
Bidwill,NSW,2770,,,38,"4,000",2.00%,"$817,500",,0.31%,N/A,11.99%,N/A,22.01%,N/A,66.84%,N/A,8.13%,N/A,$510,,24.2 days,24.2 days,3.24%,3.24%,1159,"$1,038",$883,3.1,,31,1700,"$163,500","$4,590",36
Labrador,QLD,4215,,,64,"19,000",2.00%,"$817,500",,2.06%,$0,7.57%,$0,32.93%,$1,89.02%,$1,6.59%,$0,$683,,44.9 days,44.9 days,4.34%,4.34%,738.3,"$1,115",$935,2,24.8%,39,1300,"$163,500","$4,863",34
Rangewood,QLD,4817,,,"1,119","1,000",3.00%,"$817,500",,3.15%,N/A,27.73%,N/A,43.42%,N/A,72.11%,N/A,6.27%,N/A,N/A,,N/A,N/A,0.00%,0.00%,1487,"$1,311","$1,068",3.2,22.6%,37,1257,"$163,500","$5,556",29
Latham,ACT,2615,https://www.smartpropertyinvestment.com.au/data/act/2615/latham,,,,,"$817,500",,3.22%,,3.88%,,-1.57%,,41.44%,,6.08%,,$650,,30.4 days,,4.13%,,1911,"$1,456","$1,167",2.7,,35,2000,"$163,500","$6,070",27
West Haven,NSW,2443,,,,,,"$819,000",,-0.67%,,0.00%,,9.57%,,53.08%,,7.44%,,N/A,,108.8 days,108.8 days,0.00%,0.00%,781,$927,$808,2,0.0%,59,1343,"$163,800","$4,201",39
Ascot Park,SA,5043,https://www.smartpropertyinvestment.com.au/data/sa/5043/ascot-park,,,,,"$819,000",,-0.36%,,7.41%,,43.68%,,89.58%,,7.54%,,$600,,32.2 days,,3.81%,,1016,"$1,143",$954,2.2,43.5%,39,1600,"$163,800","$4,963",33
Strathpine,QLD,4500,,,19,"11,000",12.00%,"$819,999",,2.69%,$0,12.33%,$0,30.16%,$0,86.36%,$1,9.01%,$0,$600,,25.1 days,25.1 days,3.80%,3.80%,1043,"$1,307","$1,066",2.7,31.5%,35,1100,"$164,000","$5,543",30
Iluka,NSW,2466,,,536,"2,000",3.00%,"$820,000",,0.00%,$0,0.92%,$0,12.18%,$0,56.94%,$1,9.14%,$0,$495,,118 days,118 days,3.14%,3.14%,723,$911,$796,1.9,,62,1205,"$164,000","$4,141",40
Whalan,NSW,2770,,,39,"6,000",1.00%,"$820,000",,1.23%,N/A,10.51%,N/A,21.46%,N/A,74.47%,N/A,8.31%,N/A,$500,,31.5 days,31.5 days,3.17%,3.17%,1159,"$1,038",$883,3.1,27.8%,31,1700,"$164,000","$4,590",36
Kenilworth,QLD,4574,,,97,604,8.00%,"$820,000",,2.98%,N/A,6.49%,N/A,48.28%,N/A,120.13%,N/A,11.31%,N/A,N/A,,N/A,N/A,0.00%,0.00%,641.8,"$1,078",$910,2.4,0.0%,42,800,"$164,000","$4,733",35
Apollo Bay,VIC,3233,,,,,,"$820,000",,-7.87%,N/A,-12.30%,N/A,-14.14%,N/A,33.33%,N/A,6.59%,N/A,$550,,137.8 days,137.8 days,3.49%,3.49%,933,"$1,082",$913,2,,52,1365,"$164,000","$4,747",35
Modbury Heights,SA,5092,https://www.smartpropertyinvestment.com.au/data/sa/5092/modbury-heights,,,,,"$820,000",,4.39%,,13.34%,,41.38%,,95.24%,,8.85%,,$620,,40.1 days,,3.93%,,1284,"$1,106",$929,2.5,39.5%,39,1452,"$164,000","$4,832",34
Darra,QLD,4076,,,13,"4,000",6.00%,"$820,000",,7.89%,N/A,17.14%,N/A,36.67%,N/A,107.59%,N/A,9.69%,N/A,$560,,42.7 days,42.7 days,3.55%,3.55%,879.6,"$1,139",$951,2.8,45.5%,32,1015,"$164,000","$4,947",33
Narre Warren South,VIC,3805,,,,,,"$820,000",,0.61%,N/A,-1.20%,N/A,1.23%,N/A,28.13%,N/A,6.27%,N/A,$620,,43.4 days,43.4 days,3.93%,3.93%,1624,"$1,178",$978,3.2,29.6%,34,1700,"$164,000","$5,087",32
Tuggerah,NSW,2259,,,65,925,,"$820,000",,0.00%,$0,9.33%,$0,10.59%,$0,54.72%,$0,12.66%,$0,$650,,41 days,41 days,4.12%,4.12%,1285,"$1,224","$1,010",2.7,62.5%,40,1733,"$164,000","$5,251",31
Chain Valley Bay,NSW,2259,,,,,,"$820,000",,-0.79%,N/A,9.33%,N/A,10.81%,N/A,31.20%,N/A,9.45%,N/A,$600,,48.2 days,48.2 days,3.80%,3.80%,1285,"$1,224","$1,010",2.7,20.0%,40,1733,"$164,000","$5,251",31
Embleton,WA,6062,https://www.smartpropertyinvestment.com.au/data/wa/6062/embleton,,,,,"$820,000",,1.86%,,23.87%,,51.85%,,86.68%,,4.37%,,$680,,25.3 days,,4.31%,,1432,"$1,276","$1,045",2.6,50.0%,39,1950,"$164,000","$5,432",30
Fennell Bay,NSW,2283,,,,,,"$820,000",,0.00%,N/A,3.14%,N/A,4.46%,N/A,57.69%,N/A,8.81%,N/A,$588,,68 days,68 days,3.73%,3.73%,1225,"$1,297","$1,059",2.5,30.8%,46,1733,"$164,000","$5,508",30
Albion Park Rail,NSW,2527,,,,,,"$820,000",,0.61%,$0,2.56%,$0,5.47%,$0,49.36%,$0,8.13%,$0,$625,,51.7 days,51.7 days,3.96%,3.96%,1500,"$1,316","$1,072",2.9,15.8%,37,1842,"$164,000","$5,574",29
Hocking,WA,6065,https://www.smartpropertyinvestment.com.au/data/wa/6065/hocking,,,,,"$820,000",,1.61%,,18.84%,,48.82%,,80.22%,,4.54%,,$680,,18.2 days,,4.31%,,1920,"$1,431","$1,150",2.9,33.0%,33,2167,"$164,000","$5,981",27
Alligator Creek,QLD,4816,,,,,,"$820,500",,1.50%,N/A,31.28%,N/A,45.22%,N/A,59.32%,N/A,8.08%,N/A,N/A,,52.3 days,52.3 days,0.00%,0.00%,1168,"$1,256","$1,031",2.7,,39,1300,"$164,100","$5,364",31
Alligator Creek,QLD,4816,https://www.smartpropertyinvestment.com.au/data/qld/4816/alligator-creek,,,,,"$820,500",,1.50%,N/A,31.28%,N/A,45.22%,N/A,59.32%,N/A,8.08%,N/A,N/A,,52.3 days,52.3 days,0.00%,0.00%,1168,"$1,256","$1,031",2.7,,39,1300,"$164,100","$5,364",31
Somerville,VIC,3912,,,51,"12,000",4.00%,"$820,500",,0.06%,$0,2.18%,$0,0.67%,$0,33.41%,$0,7.69%,$0,$600,,55.5 days,55.5 days,3.80%,3.80%,1485,"$1,344","$1,091",2.8,,40,1691,"$164,100","$5,672",29
Piara Waters,WA,6112,https://www.smartpropertyinvestment.com.au/data/wa/6112/piara-waters,,,,,"$820,500",,0.86%,,9.55%,,38.36%,,79.15%,,4.84%,,$750,,26.4 days,,4.75%,,n.a.,"$1,360","$1,102",n.a.,52.8%,n.a.,n.a.,"$164,100","$5,731",29
Durack,QLD,4077,,,14,"8,000",4.00%,"$821,000",,2.63%,$0,8.38%,$0,39.15%,$1,109.17%,$1,8.08%,$0,$623,,33.9 days,33.9 days,3.94%,3.94%,797.2,"$1,016",$868,2.7,,37,1100,"$164,200","$4,514",36
